Name,Replicate,AUC
Col-Pa,A1,1206915.55070988
Col-Pa,A2,3098767.66250365
Col-Pa,A3,3780297.02800205
Col-Pa,A4,3098787.04987191
Col-Pa,A5,895731.054859928
Col-Pa,A6,818568.952481644
Col-Pa,A7,5926320.49672204
Col-Pa,A8,4251564.10776135
Col-Pa,A9,3231284.85566026
Col-Pa,A10,4445899.38716671
Col-Pa,A11,2349170.07587989
Col-Pa,A12,1822178.47807379
fls2/efr-Pa,A1,747577.825065078
fls2/efr-Pa,A2,698361.719070214
fls2/efr-Pa,A3,656483.73462787
fls2/efr-Pa,A4,744519.59966153
fls2/efr-Pa,A5,674317.907445728
fls2/efr-Pa,A6,743839.323164819
fls2/efr-Pa,A7,642134.414703268
fls2/efr-Pa,A8,737170.709650464
fls2/efr-Pa,A9,717101.931195689
fls2/efr-Pa,A10,703279.167095428
fls2/efr-Pa,A11,706911.004446377
fls2/efr-Pa,A12,629106.368534834
bak1-4-Pa,A1,1474510.09299709
bak1-4-Pa,A2,1388657.04541344
bak1-4-Pa,A3,1303049.91375132
bak1-4-Pa,A4,3585848.45994524
bak1-4-Pa,A5,6991113.6443957
bak1-4-Pa,A6,1346705.36028913
bak1-4-Pa,A7,1874368.96322365
bak1-4-Pa,A8,2091935.43413872
bak1-4-Pa,A9,3380776.9376071
bak1-4-Pa,A10,1818301.34998086
bak1-4-Pa,A11,2100903.41408769
bak1-4-Pa,A12,823387.208040881
bak1-5-Pa,A1,691790.590816571
bak1-5-Pa,A2,757657.659505601
bak1-5-Pa,A3,757316.07774153
bak1-5-Pa,A4,734149.876860398
bak1-5-Pa,A5,694295.269115716
bak1-5-Pa,A6,910702.503668868
bak1-5-Pa,A7,825565.974322082
bak1-5-Pa,A8,732685.201206858
bak1-5-Pa,A9,957157.895511614
bak1-5-Pa,A10,820745.867065586
bak1-5-Pa,A11,740297.232336713
bak1-5-Pa,A12,691391.617136766
Col-1391,A1,1243803.93896899
Col-1391,A2,1948105.885579
Col-1391,A3,4768586.43307126
Col-1391,A4,2246356.65067017
Col-1391,A5,962928.455481718
Col-1391,A6,1140669.71859114
Col-1391,A7,1979148.10955282
Col-1391,A8,1943351.32630806
Col-1391,A9,943745.128705915
Col-1391,A10,1243421.66957739
Col-1391,A11,1065128.22139481
Col-1391,A12,1660749.88962316
fls2/efr-1391,A1,744067.82606691
fls2/efr-1391,A2,789997.752642851
fls2/efr-1391,A3,679147.938720106
fls2/efr-1391,A4,716467.451407614
fls2/efr-1391,A5,663316.680068811
fls2/efr-1391,A6,804730.435165726
fls2/efr-1391,A7,761296.690934926
fls2/efr-1391,A8,646754.892942992
fls2/efr-1391,A9,656263.092569067
fls2/efr-1391,A10,669046.733126267
fls2/efr-1391,A11,659646.781954449
fls2/efr-1391,A12,673214.912744716
bak1-4-1391,A1,1509113.58799238
bak1-4-1391,A2,711006.151817318
bak1-4-1391,A3,860489.534658921
bak1-4-1391,A4,796730.289134062
bak1-4-1391,A5,826510.351578118
bak1-4-1391,A6,1074635.52073761
bak1-4-1391,A7,924608.916231461
bak1-4-1391,A8,694707.551130473
bak1-4-1391,A9,741378.45637964
bak1-4-1391,A10,725183.244921069
bak1-4-1391,A11,867359.604763077
bak1-4-1391,A12,1154364.3151402
bak1-5-1391,A1,725732.41672098
bak1-5-1391,A2,738279.754533525
bak1-5-1391,A3,720268.728475475
bak1-5-1391,A4,699643.268958513
bak1-5-1391,A5,709038.38685618
bak1-5-1391,A6,824278.71603683
bak1-5-1391,A7,786319.950524705
bak1-5-1391,A8,688032.560054763
bak1-5-1391,A9,738028.786294301
bak1-5-1391,A10,724442.429756078
bak1-5-1391,A11,711395.008212928
bak1-5-1391,A12,696830.48322831
