taxon_oid,Name,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Institution,Host,Fraction,HostFraction,Gene.genome,Clade,X,X.1
2643221782,Sphingomonas_sp._Leaf231,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644931960-2643221782,1,rgb(76, 125, 190),rgb(205,205,205)
2643221917,Sphingomonas_sp._Leaf343,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2645521236-2643221917,1,rgb(76, 125, 190),rgb(205,205,205)
2643221763,Sphingomonas_sp._Leaf30,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644849962-2643221763,1,rgb(76, 125, 190),rgb(205,205,205)
2643221794,Sphingomonas_sp._Leaf208,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644986776-2643221794,1,rgb(76, 125, 190),rgb(205,205,205)
2643221825,Sphingomonas_sp._Leaf412,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2645122564-2643221825,1,rgb(76, 125, 190),rgb(205,205,205)
2643221744,Sphingomonas_sp._Leaf10,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644775438-2643221744,1,rgb(76, 125, 190),rgb(205,205,205)
2643221755,Sphingomonas_sp._Leaf23,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644820265-2643221755,1,rgb(76, 125, 190),rgb(205,205,205)
2643221793,Sphingomonas_sp._Leaf11,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644982466-2643221793,1,rgb(76, 125, 190),rgb(205,205,205)
2643221742,Sphingomonas_sp._Leaf9,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644767341-2643221742,1,rgb(76, 125, 190),rgb(205,205,205)
2643221762,Sphingomonas_sp._Leaf29,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644848304-2643221762,1,rgb(76, 125, 190),rgb(205,205,205)
2643221764,Sphingomonas_sp._Leaf32,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644855876-2643221764,1,rgb(76, 125, 190),rgb(205,205,205)
2643221747,Sphingomonas_sp._Leaf16,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644789774-2643221747,1,rgb(76, 125, 190),rgb(205,205,205)
2643221756,Sphingomonas_sp._Leaf24,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644824290-2643221756,1,rgb(76, 125, 190),rgb(205,205,205)
2643221777,Sphingomonas_sp._Leaf62,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644913634-2643221777,1,rgb(76, 125, 190),rgb(205,205,205)
2643221739,Sphingomonas_sp._Leaf5,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644757360-2643221739,1,rgb(76, 125, 190),rgb(205,205,205)
2643221753,Sphingomonas_sp._Leaf22,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644811961-2643221753,1,rgb(76, 125, 190),rgb(205,205,205)
2643221779,Sphingomonas_sp._Leaf67,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot,2644921682-2643221779,1,rgb(76, 125, 190),rgb(205,205,205)
2643221560,Sphingopyxis_sp._Root1497,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,MPCologne,Arabidopsis,Root,Arabidopsis_Root,2643822309-2643221560,1,rgb(76, 125, 190),rgb(205,205,205)
2643221608,Sphingopyxis_sp._Root214,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,MPCologne,Arabidopsis,Root,Arabidopsis_Root,2644056115-2643221608,1,rgb(76, 125, 190),rgb(205,205,205)
2643221563,Sphingopyxis_sp._Root154,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,MPCologne,Arabidopsis,Root,Arabidopsis_Root,2643835188-2643221563,1,rgb(76, 125, 190),rgb(205,205,205)
