Name,Replicate,AUC
pta,A1,4545360.44452232
pta,A2,12865187.7625364
pta,A3,23569230.7563196
pta,A4,19689067.0869138
pta,A5,26412182.0484416
pta,A6,20112488.6167666
pta,A7,39963799.8554349
pta,A8,24998429.7179112
pta,A9,17985747.0473116
pta,A10,7724484.87915522
pta,A11,5217097.80636485
pta,A12,3937605.84367813
ptada,A1,4850774.96553185
ptada,A2,1688495.12635279
ptada,A3,558911.926582245
ptada,A4,2041052.83974532
ptada,A5,3269269.24648968
ptada,A6,4031063.61597978
ptada,A7,1989774.59551501
ptada,A8,3582363.33186227
ptada,A9,1060373.13586028
ptada,A10,1231226.65166294
ptada,A11,2196660.00609674
ptada,A12,1225849.69512729
2004,A1,148308.661666431
2004,A2,154087.595397717
2004,A3,139598.290319156
2004,A4,136308.602872144
2004,A5,121043.674655695
2004,A6,125549.47873991
2004,A7,141934.414973137
2004,A8,136377.327538908
2004,A9,126254.518327607
2004,A10,139744.884242617
2004,A11,194581.81727752
2004,A12,145101.93147224
1633,A1,12400220.6227443
1633,A2,14490438.9087895
1633,A3,12310822.5155882
1633,A4,805354.913115656
1633,A5,9131024.06347417
1633,A6,3189797.43403555
1633,A7,13907506.3126263
1633,A8,12542454.5707251
1633,A9,4635522.25057306
1633,A10,6365011.8630001
1633,A11,11168562.3212235
1633,A12,12759155.4976402
2011,A1,146465.400868845
2011,A2,145238.530635804
2011,A3,146943.996870653
2011,A4,155645.117497341
2011,A5,136961.302465475
2011,A6,141393.18181152
2011,A7,165978.484674662
2011,A8,247382.023755854
2011,A9,134450.079972318
2011,A10,135818.063349007
2011,A11,134882.797953109
2011,A12,144516.141770305
2008,A1,145103.184266551
2008,A2,144250.598966312
2008,A3,126402.124856839
2008,A4,160789.296051295
2008,A5,134458.047586618
2008,A6,138739.812410747
2008,A7,126821.672419794
2008,A8,139512.763920086
2008,A9,1902532.34240423
2008,A10,131453.346783824
2008,A11,130974.084864285
2008,A12,128168.108925083
2003,A1,140583.261465756
2003,A2,136038.214502294
2003,A3,145441.03101434
2003,A4,512540.578250767
2003,A5,135737.246169212
2003,A6,154863.168026711
2003,A7,142245.212396155
2003,A8,142803.941926013
2003,A9,132472.595436302
2003,A10,120346.703828135
2003,A11,126896.091671996
2003,A12,134596.179995637
1173,A1,138902.439170321
1173,A2,125191.967253025
1173,A3,146946.576368914
1173,A4,142305.732503412
1173,A5,141577.619579277
1173,A6,157488.200394556
1173,A7,129759.422903964
1173,A8,576388.842511599
1173,A9,122830.541560493
1173,A10,207497.580525257
1173,A11,276908.809870716
1173,A12,164560.227692344
