Name,Time,N,measurement,sd,se,ci
cPta,0,12,243.525316083333,238.981499369126,68.9880164960527,151.841600531969
cPta,60,12,85.6021379166667,56.3048646299539,16.2538143753947,35.7744042351278
cPta,120,12,185.62542275,263.208800379624,75.9818358761271,167.234893199874
cPta,180,12,648.981170416667,543.496677428957,156.893976508638,345.321314003278
cPta,240,12,1605.11448108333,1073.34260613684,309.847321292899,681.969356059817
cPta,300,12,2600.93793975,1605.39396200249,463.43731805877,1020.01865968002
cPta,360,12,3189.61627258333,1883.61577328651,543.753036878396,1196.79236492411
cPta,420,12,3611.17276466667,1931.71238151073,557.637331731077,1227.3514918532
cPta,480,12,4019.86846441667,2130.60417182339,615.052446069387,1353.72130647678
cPta,540,12,4226.81919158333,2148.46522822035,620.208488928785,1365.06968029511
cPta,600,12,4307.69998583333,2148.68404012578,620.271654485037,1365.20870674705
cPta,660,12,4518.94129075,2187.2109548255,631.393416771499,1389.68754049362
cPta,720,12,4554.9412755,2248.73457024705,649.153754734077,1428.77778078747
cPta,780,12,4667.84228266667,2393.53484768236,690.953994312082,1520.77948778693
cPta,840,12,4720.68808675,2302.96882093827,664.809834352014,1463.23657969176
cPta,900,12,4663.40008358333,2398.10410559393,692.273025454701,1523.68265575754
cPta,960,12,4588.95089541667,2342.09921127496,676.105805049205,1488.09884356511
cPta,1020,12,4471.61267008333,2362.66238049938,682.04188069276,1501.16405796576
cPta,1080,12,4303.72183841667,2308.60387481861,666.43653428937,1466.81692211381
cPta,1140,12,4074.25107525,2226.36751023607,642.696940674915,1414.56642886178
cPta,1200,12,3894.25888608333,2137.30720172842,616.987444129413,1357.98020849171
cPta,1260,12,3641.04568308333,2026.94256095477,585.127916599573,1287.857861191
cPta,1320,12,3359.18934516667,1945.21535560141,561.535304594134,1235.93087227923
cPta,1380,12,3126.19974566667,1898.66300268503,548.096797850293,1206.35291836224
cPta,1440,12,2739.1082835,1704.15954842675,491.948487013127,1082.77131944543
cPta,1500,12,2438.25957166667,1520.85333505852,439.032541196988,966.304107971891
cPta,1560,12,2155.02868575,1369.34020178138,395.294467055328,870.03725585511
cPta,1620,12,1867.35678283333,1199.71618641252,346.32823158821,762.263298246429
cPta,1680,12,1636.975181,1056.24217412084,304.910851779052,671.104259916594
cPta,1740,12,1382.08623516667,910.431621056224,262.818970747779,578.46065440642
cPta,1800,12,1169.93534583333,823.21406524234,237.641431084176,523.04526323921
cPta,1860,12,939.403411166667,664.876527856994,191.93332116805,422.44239161798
cPta,1920,12,771.9812915,558.978195058006,161.363105693936,355.157801018651
cPta,1980,12,649.593380916667,468.582069450048,135.267991967208,297.722842955221
cPta,2040,12,562.436314916667,420.746605406822,121.459082946125,267.329639122761
cPta,2100,12,451.38385125,323.272745565695,93.3208033370116,205.397703272593
cPta,2160,12,367.596901666667,256.6065087473,74.075918450532,163.039997229779
cPta,2220,12,311.9943425,222.29480994912,64.1709841817905,141.239383892596
cPta,2280,12,258.229970583333,201.071514965444,58.0443466458325,127.754745594692
cPta,2340,12,225.603806333333,209.811447083375,60.5673477263257,133.307833531753
cPta,2400,12,188.841768916667,142.39995697724,41.1073267467003,90.4766161405254
cPta,2460,12,158.360001583333,109.613760005683,31.642766923084,69.6452604219463
cPta,2520,12,155.909249916667,134.13518087225,38.7214913921963,85.2254279308402
cPta,2580,12,129.716375416667,96.2368760289463,27.7811931406404,61.1459938321891
cPta,2640,12,126.040205,106.796141657926,30.8293905673086,67.8550311333154
cPta,2700,12,113.47988125,83.304402452037,24.0479095901822,52.9290921392165
cPta,2760,12,99.2346565833333,67.6590932037168,19.5314978371459,42.9885368939202
cPta,2820,12,93.87357025,81.3205052257746,23.4752077913687,51.66858397887
cPta,2880,12,92.49497475,49.5725070943201,14.3103501576552,31.496868332714
