Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
c5007,0,10567.207581,10546.39948,10163.531399,9899.270259,9976.259635,10332.076361,10427.793411,10236.359425,10448.601481,10563.04596,10775.288882,10511.025722
c5007,60,10334.157165,10640.035975,10242.601831,10434.035832,10398.662123,10459.005518,10275.894668,10280.056273,10290.460288,10719.106878,10802.339491,10602.581364
c5007,120,10454.843903,10267.571457,10438.197446,10839.794196,10606.742986,10590.096498,10648.359224,10546.39948,10669.167351,10827.309292,10862.68319,11172.725672
c5007,180,10754.480728,10864.764008,11828.188563,11399.536033,11376.646885,10979.209083,10979.209083,12375.452169,10916.784476,11301.736991,11824.026877,11938.473324
c5007,240,11507.739368,12317.188185,15111.826337,12362.967026,14808.011356,12367.128741,11861.48206,17240.644486,12242.277411,14169.171288,16693.347609,13875.764366
c5007,300,12799.94819,14708.127231,20680.584693,13800.852133,18216.631856,14808.011356,13211.961187,25394.354496,14604.081399,18478.839446,22414.137514,17261.454327
c5007,360,14398.071052,18156.282611,25169.585658,15867.206941,22468.246609,17380.070524,14849.629779,33209.62651,17748.406152,22160.241476,27677.458918,19918.915496
c5007,420,15738.188261,20566.125745,30122.971174,17848.294073,25756.483394,20054.184086,15873.449785,38798.378192,21279.936043,25084.256913,31269.786063,23080.09816
c5007,480,16366.636048,23275.725153,33203.382313,19958.455522,27508.877422,21408.963657,17188.619907,42012.347324,25421.410046,26996.891351,33507.267134,25100.906417
c5007,540,17563.19763,25517.145145,34887.251761,21458.909886,30374.811148,22965.63578,18961.636622,43688.075419,28793.019495,28380.926277,34177.48294,27223.746564
c5007,600,17748.406152,26424.553076,35561.642044,22253.89156,31956.634064,23265.31945,20164.480183,43142.679319,30982.560465,28054.167001,34720.736517,28345.544635
c5007,660,18366.464659,26976.078978,35380.555206,23073.854753,32160.608241,24162.29603,20466.234432,43030.269897,31427.968716,27013.541253,33690.431145,28682.711507
c5007,720,18832.612953,27336.133788,34770.691054,24033.263977,33192.975319,24230.974466,22041.618194,41265.046354,32464.489103,25931.304828,33163.835743,29538.122721
c5007,780,18988.689998,27598.371258,34387.707067,24120.672765,33259.580104,23171.668183,22243.48599,39179.30173,31736.009518,24049.913263,32395.803602,27700.352728
c5007,840,17436.257206,26734.655852,32050.295611,23356.889684,32235.537662,22437.029819,21198.773619,35878.024628,29638.025357,22409.975277,30420.60032,26118.613932
c5007,900,17242.72547,26004.147205,30705.742567,22955.230117,31438.375481,21642.046326,20946.962517,33016.056628,28093.711046,20672.260401,28135.336378,24511.932316
