Name,Replicate,AUC
cPta,A1,4177870.82537527
cPta,A2,5086862.0479795
cPta,A3,10435434.6483777
cPta,A4,12162245.1351905
cPta,A5,4975135.57443824
cPta,A6,7149521.5507405
cPta,A7,10306515.9598938
cPta,A8,13365064.1106191
cPta,A9,17467024.3333145
cPta,A10,7309120.50603755
cPta,A11,7732195.45668952
cPta,A12,5861168.84689318
fePta,A1,152097.999639083
fePta,A2,146742.478658029
fePta,A3,154244.942109803
fePta,A4,146300.640373437
fePta,A5,144888.074884973
fePta,A6,144591.318378399
fePta,A7,142825.829213624
fePta,A8,145343.335362913
fePta,A9,165389.80333183
fePta,A10,137958.589347008
fePta,A11,137090.187020455
fePta,A12,138477.903343275
fe1810,A1,159154.781714149
fe1810,A2,139299.215465539
fe1810,A3,136849.517131419
fe1810,A4,138354.560094143
fe1810,A5,128899.463364202
fe1810,A6,133361.065692443
fe1810,A7,134182.882527133
fe1810,A8,141819.679096754
fe1810,A9,135832.173780627
fe1810,A10,134246.963736187
fe1810,A11,139922.134921406
fe1810,A12,134377.419313068
fe1814,A1,148756.489299096
fe1814,A2,132630.124385367
fe1814,A3,134695.893687899
fe1814,A4,129462.006766023
fe1814,A5,126250.054702813
fe1814,A6,126256.019717604
fe1814,A7,134263.612453447
fe1814,A8,129958.506219139
fe1814,A9,129455.179802323
fe1814,A10,133551.455076254
fe1814,A11,128449.597249591
fe1814,A12,134508.693809178
fe264,A1,144348.287067988
fe264,A2,138351.242242041
fe264,A3,131981.842145461
fe264,A4,137407.116229138
fe264,A5,156169.808630062
fe264,A6,130909.555875158
fe264,A7,132801.039055365
fe264,A8,128646.209460627
fe264,A9,133745.804764658
fe264,A10,124993.45076944
fe264,A11,140353.715105749
fe264,A12,130028.932098567
fe289,A1,152098.793490239
fe289,A2,132179.649208757
fe289,A3,127638.442159693
fe289,A4,133436.053017475
fe289,A5,133492.873064465
fe289,A6,131414.576536598
fe289,A7,124181.246001685
fe289,A8,130789.715502461
fe289,A9,127184.829323351
fe289,A10,131538.154057589
fe289,A11,134893.530507119
fe289,A12,135636.658130434
fe295,A1,156449.817174353
fe295,A2,143391.376669711
fe295,A3,141877.490323902
fe295,A4,136705.48005293
fe295,A5,133492.810542018
fe295,A6,132345.398532031
fe295,A7,125304.656026914
fe295,A8,126765.752700356
fe295,A9,134240.525342413
fe295,A10,120761.503554618
fe295,A11,132813.602680053
fe295,A12,139612.404983486
fe468,A1,141117.37264732
fe468,A2,131932.469331455
fe468,A3,130401.806878017
fe468,A4,146157.711321639
fe468,A5,120078.215142571
fe468,A6,135009.631631332
fe468,A7,139032.401535002
fe468,A8,156419.257395495
fe468,A9,125875.359731663
fe468,A10,131412.001568803
fe468,A11,135131.669090817
fe468,A12,131097.436266934
