Name,Replicate,AUC
pta,A1,498468.391985727
pta,A2,7673531.98965619
pta,A3,15265972.8607192
pta,A4,13681701.6602477
pta,A5,11667434.9440187
pta,A6,11320065.0607652
pta,A7,14673020.0627403
pta,A8,7128473.44585281
pta,A9,17155567.1719572
pta,A10,16929671.4916869
pta,A11,5906220.04912039
pta,A12,1248092.76593511
ptada,A1,199889.451878604
ptada,A2,207416.697071751
ptada,A3,208595.837299137
ptada,A4,192995.346855717
ptada,A5,185571.811297281
ptada,A6,196417.14702257
ptada,A7,177586.937803492
ptada,A8,195997.572489801
ptada,A9,186441.499931555
ptada,A10,183873.676674558
ptada,A11,195176.411648069
ptada,A12,178008.994208063
1544,A1,533424.669561764
1544,A2,410458.699439138
1544,A3,368913.377847528
1544,A4,352767.417024375
1544,A5,462961.623071898
1544,A6,535803.523633752
1544,A7,440847.477271295
1544,A8,238368.439244036
1544,A9,367892.816386371
1544,A10,601357.785477458
1544,A11,312460.294302004
1544,A12,427561.441120228
1195,A1,12878915.7508835
1195,A2,21287514.9929291
1195,A3,13366290.1896282
1195,A4,15581801.3473787
1195,A5,12897189.2232984
1195,A6,18318652.4477444
1195,A7,17672866.5289891
1195,A8,23865368.4663626
1195,A9,15058604.3705832
1195,A10,7560946.60004147
1195,A11,17096419.7855283
1195,A12,3685975.49765168
1471,A1,1748001.54201472
1471,A2,1363320.67835036
1471,A3,1227578.51769103
1471,A4,797985.068705142
1471,A5,1069404.92497548
1471,A6,1178027.96072647
1471,A7,1599202.91827871
1471,A8,898952.361639601
1471,A9,628834.289128044
1471,A10,1582105.53213869
1471,A11,1010352.81154379
1471,A12,649883.818673579
470,A1,4648971.51584437
470,A2,2055029.92402822
470,A3,5301633.53211526
470,A4,4696288.38974427
470,A5,6096340.65508677
470,A6,5423099.64646532
470,A7,5811545.9842009
470,A8,4856446.7085571
470,A9,6814471.93697997
470,A10,3499075.69703904
470,A11,5688734.39944593
470,A12,3700846.70514257
1983,A1,1115780.22815997
1983,A2,2120425.862959
1983,A3,2536806.67489504
1983,A4,1480660.12493254
1983,A5,2550920.88055364
1983,A6,2353050.49855963
1983,A7,1898402.27817985
1983,A8,2979569.37126381
1983,A9,1457603.39179923
1983,A10,2593378.01698967
1983,A11,2380243.49474502
1983,A12,2532086.18030942
1635,A1,2520950.70752852
1635,A2,2041577.93906896
1635,A3,2673938.56754051
1635,A4,1710850.26669056
1635,A5,781226.323958093
1635,A6,2060265.31413048
1635,A7,2295026.78170682
1635,A8,3457957.49990866
1635,A9,2816255.62498063
1635,A10,2715922.91031016
1635,A11,1461880.69448518
1635,A12,1656372.41302957
