Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pa,0,5969.937884,5461.061987,4985.479961,4956.94513,4819.02692,4895.119696,4838.050107,4690.620525
Pa,60,4678.731054,4614.527944,4526.545987,4505.144985,4785.736354,4455.209336,4578.859571,4581.237462
Pa,120,4419.541034,4595.50481,4647.818439,4402.895832,4597.882701,4780.980559,4590.749027,4719.155262
Pa,180,4426.674693,4498.011319,4338.692943,4350.582363,4262.600696,4555.080665,4429.05258,4469.476661
Pa,240,4374.361208,4467.098773,4752.445801,4645.440546,4429.05258,4600.260593,4609.77216,4395.762175
Pa,300,4478.988212,5061.572896,4909.3871,5090.107764,5111.508923,5192.357795,5151.933349,5149.555441
Pa,360,5049.68337,5137.665902,5030.660132,5225.648531,5572.824173,5237.538083,5111.508923,5287.47422
Pa,420,5399.236164,5622.760519,5777.325598,5829.64,6728.501888,6236.266746,5941.402701,5606.115067
Pa,480,6136.393319,5717.877456,5822.506216,6431.258083,7220.740057,6861.66747,6262.424093,5767.813893
Pa,540,6305.227043,5513.376182,5829.64,7225.495996,7991.205878,7770.052892,6393.210955,5760.680114
Pa,600,6676.186898,5556.178731,6164.928571,8687.960678,9192.101039,8407.355626,6671.430991,5924.757183
Pa,660,7353.906458,6214.865287,6994.833275,10052.951828,10331.184588,9812.76877,7177.936617,6438.391921
Pa,720,8359.795545,6828.376054,8136.263544,11408.453885,11498.821505,10944.726913,8024.497778,7049.526437
Pa,780,9372.831376,7967.425958,9023.261225,12664.097328,12079.079182,11750.900143,8578.572151,7051.904401
Pa,840,9712.890879,7822.368597,9717.646967,13427.481096,12155.178861,12502.384567,8737.898968,6792.706694
Pa,900,9420.392059,7993.58387,10433.441316,14131.417753,11962.551688,12495.250188,8825.885555,6994.833275
Pa,960,9634.415481,8578.572151,10783.017627,13841.280949,11306.195912,12140.910166,8961.432649,6999.5892
Pa,1020,9567.830355,8385.953586,10775.883401,13368.02727,10978.020042,11444.125302,8569.060112,7099.463705
Pa,1080,8852.043748,8514.365911,10730.699986,12792.516518,10052.951828,10913.811877,8245.651467,6776.060999
Pa,1140,8209.981476,8195.713484,11177.779107,11976.820351,9563.074277,9827.037051,8240.895467,6488.328808
Pa,1200,7520.364772,8416.867645,10706.919252,11420.344356,8887.714026,9318.136626,7620.239927,6169.684448
Pa,1260,7339.638619,8542.902011,10547.588515,10721.187692,8478.6958,9001.85902,7855.660427,6324.250583
Pa,1320,7011.479016,7867.55037,9831.793145,9646.305688,7798.588727,8243.273467,7244.519755,6167.306509
Pa,1380,6699.966434,7796.21074,10067.220151,9760.451764,7330.126727,7943.646044,7363.418353,6029.386214
Pa,1440,6407.478626,7303.969032,9203.99118,8305.101487,6825.998096,7420.489742,6821.242181,5786.837305
Pa,1500,6164.928571,7218.362087,8840.15366,8129.129555,6619.116039,6935.384227,6571.557021,5934.268907
Pa,1560,5903.355807,6481.194965,7893.70825,7223.118026,6079.322845,6543.021624,5920.001321,5411.125741
Pa,1620,5601.359224,6065.055233,7185.070522,6707.100297,5874.820648,6364.675622,5981.827546,5365.945356
Pa,1680,5651.295588,6169.684448,7237.385845,6386.077121,5763.05804,6155.416819,5701.231984,5344.544129
Pa,1740,5411.125741,5682.208591,6928.250345,6445.52576,5808.23865,6176.818263,5679.830668,5506.242426
Pa,1800,5565.690412,5675.07482,6566.801121,6134.015382,5549.044971,5760.680114,5401.614079,5361.189527
Pa,1860,5480.085327,5584.713776,6100.724268,5646.539743,5480.085327,5537.155373,5285.096308,5116.264737
Pa,1920,4961.700934,4973.590447,5480.085327,5228.026441,4911.765,4971.212544,4904.631298,4842.805905
Pa,1980,4845.183804,4880.852295,5363.567441,5242.293904,5087.729858,4983.102058,5028.282228,4838.050107
Pa,2040,4728.666843,4854.6954,5168.578707,5218.514801,5056.817085,4997.369478,4971.212544,4854.6954
Pa,2100,4788.114251,4978.346253,5306.497519,5247.049726,4921.276605,5318.387082,4892.741796,4992.613671
Pa,2160,5063.950801,5280.340484,5266.073015,5251.805547,5232.782262,5173.334524,5118.642644,5078.218235
Pa,2220,4899.875497,5380.212843,5337.410388,5156.689165,5021.148515,4978.346253,5023.526419,5061.572896
Pa,2280,4959.323032,5078.218235,5354.055785,5194.735704,5085.351952,5330.276648,4985.479961,5218.514801
Pa,2340,5044.92756,5175.712432,5194.735704,5304.119606,5211.381071,5170.956615,5151.933349,5142.421717
Pa,2400,5097.241483,5047.305465,5261.317192,5249.427636,5166.200798,5213.758981,5204.247342,5101.997296
Pa,2460,5163.82289,5087.729858,5387.346588,5515.754101,5282.718396,5201.869433,5389.724503,5358.811613
Pa,2520,5349.299957,5289.852132,5377.834928,5368.32327,5332.654561,5323.142908,5204.247342,5282.718396
Pa,2580,5292.230044,5239.915993,5239.915993,5370.701184,5223.270621,5318.387082,5287.47422,5408.747826
Pa,2640,6657.163274,6440.769867,6443.147814,6664.297132,6393.210955,6141.149194,6376.565343,5979.449614
Pa,2700,5518.13202,5496.730753,5465.817821,5789.215232,5530.021615,5637.028053,5584.713776,5553.800811
Pa,2760,5560.934571,5458.68407,5560.934571,5356.433699,5522.887858,5287.47422,5401.614079,5320.764995
Pa,2820,5335.032475,5280.340484,5361.189527,5242.293904,5304.119606,5270.828837,5339.788302,5028.282228
Pa,2880,5187.601977,5178.090341,5430.149069,5261.317192,5292.230044,5420.637405,5289.852132,5370.701184
Pa,2940,4942.677718,5323.142908,5090.107764,5109.131016,5197.113614,5023.526419,5161.444981,5197.113614
