Strain,Condition,Rep,Plate,Days,Root_growth (mm)
NB,flg+,1,3,7,17
NB,flg+,1,3,7,24
NB,flg+,1,3,7,26
NB,flg+,1,3,7,27
NB,flg+,1,3,7,28
NB,flg+,1,3,7,23
NB,flg+,1,1,7,26
NB,flg+,1,1,7,25
NB,flg+,1,1,7,15
NB,flg+,1,1,7,17
NB,flg+,1,1,7,18
NB,flg+,1,1,7,24
NB,flg+,1,2,7,4
NB,flg+,1,2,7,16
NB,flg+,1,2,7,13
NB,flg+,1,2,7,15
NB,flg+,1,2,7,16
NB,flg+,1,2,7,17
p182,flg+,1,26,7,18
p182,flg+,1,26,7,36
p182,flg+,1,26,7,43
p182,flg+,1,26,7,9
p182,flg+,1,26,7,50
p182,flg+,1,26,7,44
p182,flg+,1,27,7,38
p182,flg+,1,27,7,44
p182,flg+,1,27,7,41
p182,flg+,1,27,7,22
p182,flg+,1,27,7,30
p182,flg+,1,27,7,33
p182,flg+,1,25,7,44
p182,flg+,1,25,7,15
p182,flg+,1,25,7,41
p182,flg+,1,25,7,29
p182,flg+,1,25,7,40
p182,flg+,1,25,7,31
NB,flg-,1,4,7,52
NB,flg-,1,4,7,53
NB,flg-,1,4,7,39
NB,flg-,1,4,7,59
NB,flg-,1,4,7,69
NB,flg-,1,4,7,62
NB,flg-,1,5,7,36
NB,flg-,1,5,7,21
NB,flg-,1,5,7,49
NB,flg-,1,5,7,45
NB,flg-,1,5,7,57
NB,flg-,1,5,7,61
NB,flg-,1,6,7,5
NB,flg-,1,6,7,52
NB,flg-,1,6,7,57
NB,flg-,1,6,7,18
NB,flg-,1,6,7,50
NB,flg-,1,6,7,50
p182,flg-,1,30,7,46
p182,flg-,1,30,7,54
p182,flg-,1,30,7,36
p182,flg-,1,30,7,55
p182,flg-,1,30,7,49
p182,flg-,1,30,7,43
p182,flg-,1,29,7,48
p182,flg-,1,29,7,57
p182,flg-,1,29,7,56
p182,flg-,1,29,7,41
p182,flg-,1,29,7,54
p182,flg-,1,29,7,49
p182,flg-,1,28,7,45
p182,flg-,1,28,7,56
p182,flg-,1,28,7,54
p182,flg-,1,28,7,28
p182,flg-,1,28,7,50
p182,flg-,1,28,7,23
cl21,flg-,1,11,7,62
cl21,flg-,1,11,7,61
cl21,flg-,1,11,7,48
cl21,flg-,1,11,7,61
cl21,flg-,1,11,7,52
cl21,flg-,1,11,7,60
cl21,flg-,1,10,7,59
cl21,flg-,1,10,7,28
cl21,flg-,1,10,7,67
cl21,flg-,1,10,7,50
cl21,flg-,1,10,7,57
cl21,flg-,1,10,7,51
cl21,flg-,1,12,7,54
cl21,flg-,1,12,7,50
cl21,flg-,1,12,7,60
cl21,flg-,1,12,7,55
cl21,flg-,1,12,7,60
cl21,flg-,1,12,7,56
deltafliC,flg-,1,17,7,32
deltafliC,flg-,1,17,7,19
deltafliC,flg-,1,17,7,56
deltafliC,flg-,1,17,7,62
deltafliC,flg-,1,17,7,49
deltafliC,flg-,1,16,7,69
deltafliC,flg-,1,16,7,38
deltafliC,flg-,1,16,7,58
deltafliC,flg-,1,16,7,66
deltafliC,flg-,1,16,7,59
deltafliC,flg-,1,16,7,60
deltafliC,flg-,1,18,7,41
deltafliC,flg-,1,18,7,59
deltafliC,flg-,1,18,7,64
deltafliC,flg-,1,18,7,60
deltafliC,flg-,1,18,7,56
deltafliC,flg-,1,18,7,21
deltafliC,flg+,1,14,7,27
deltafliC,flg+,1,14,7,32
deltafliC,flg+,1,14,7,32
deltafliC,flg+,1,14,7,33
deltafliC,flg+,1,14,7,35
deltafliC,flg+,1,14,7,34
deltafliC,flg+,1,15,7,42
deltafliC,flg+,1,15,7,45
deltafliC,flg+,1,15,7,44
deltafliC,flg+,1,15,7,32
deltafliC,flg+,1,15,7,45
deltafliC,flg+,1,15,7,35
deltafliC,flg+,1,13,7,34
deltafliC,flg+,1,13,7,38
deltafliC,flg+,1,13,7,22
deltafliC,flg+,1,13,7,36
deltafliC,flg+,1,13,7,31
deltafliC,flg+,1,13,7,35
cl21,flg+,1,9,7,41
cl21,flg+,1,9,7,30
cl21,flg+,1,9,7,18
cl21,flg+,1,9,7,33
cl21,flg+,1,9,7,36
cl21,flg+,1,9,7,35
cl21,flg+,1,7,7,40
cl21,flg+,1,7,7,41
cl21,flg+,1,7,7,35
cl21,flg+,1,7,7,39
cl21,flg+,1,7,7,42
cl21,flg+,1,7,7,37
cl21,flg+,1,8,7,41
cl21,flg+,1,8,7,50
cl21,flg+,1,8,7,42
cl21,flg+,1,8,7,46
cl21,flg+,1,8,7,40
cl21,flg+,1,8,7,41
p176,flg+,1,20,7,7
p176,flg+,1,20,7,1
p176,flg+,1,20,7,36
p176,flg+,1,20,7,1
p176,flg+,1,20,7,3
p176,flg+,1,20,7,36
p176,flg+,1,19,7,42
p176,flg+,1,19,7,5
p176,flg+,1,19,7,39
p176,flg+,1,19,7,16
p176,flg+,1,19,7,1
p176,flg+,1,19,7,35
p176,flg+,1,21,7,36
p176,flg+,1,21,7,37
p176,flg+,1,21,7,12
p176,flg+,1,21,7,39
p176,flg+,1,21,7,1
p176,flg+,1,21,7,1
p176,flg-,1,24,7,50
p176,flg-,1,24,7,49
p176,flg-,1,24,7,63
p176,flg-,1,24,7,56
p176,flg-,1,24,7,61
p176,flg-,1,24,7,52
p176,flg-,1,23,7,31
p176,flg-,1,23,7,22
p176,flg-,1,23,7,22
p176,flg-,1,23,7,60
p176,flg-,1,23,7,65
p176,flg-,1,23,7,69
p176,flg-,1,22,7,58
p176,flg-,1,22,7,63
p176,flg-,1,22,7,34
p176,flg-,1,22,7,22
p176,flg-,1,22,7,63
p176,flg-,1,22,7,56
