Strain,Condition,Rep,Plate,Days,Root_growth (mm)
NB,flg+,2,3,7,9
NB,flg+,2,3,7,15
NB,flg+,2,3,7,19
NB,flg+,2,3,7,18
NB,flg+,2,3,7,15
NB,flg+,2,3,7,18
NB,flg+,2,1,7,1
NB,flg+,2,1,7,19
NB,flg+,2,1,7,11
NB,flg+,2,1,7,19
NB,flg+,2,1,7,14
NB,flg+,2,1,7,9
NB,flg+,2,2,7,35
NB,flg+,2,2,7,17
NB,flg+,2,2,7,37
NB,flg+,2,2,7,37
NB,flg+,2,2,7,39
NB,flg+,2,2,7,30
p182,flg+,2,26,7,36
p182,flg+,2,26,7,37
p182,flg+,2,26,7,23
p182,flg+,2,26,7,17
p182,flg+,2,26,7,45
p182,flg+,2,26,7,8
p182,flg+,2,27,7,19
p182,flg+,2,27,7,19
p182,flg+,2,27,7,13
p182,flg+,2,27,7,44
p182,flg+,2,27,7,3
p182,flg+,2,27,7,38
p182,flg+,2,25,7,22
p182,flg+,2,25,7,16
p182,flg+,2,25,7,18
p182,flg+,2,25,7,1
p182,flg+,2,25,7,39
p182,flg+,2,25,7,36
NB,flg-,2,4,7,61
NB,flg-,2,4,7,31
NB,flg-,2,4,7,44
NB,flg-,2,4,7,50
NB,flg-,2,4,7,55
NB,flg-,2,4,7,51
NB,flg-,2,5,7,36
NB,flg-,2,5,7,67
NB,flg-,2,5,7,60
NB,flg-,2,5,7,73
NB,flg-,2,5,7,73
NB,flg-,2,5,7,66
NB,flg-,2,6,7,53
NB,flg-,2,6,7,52
NB,flg-,2,6,7,53
NB,flg-,2,6,7,64
NB,flg-,2,6,7,64
NB,flg-,2,6,7,54
p182,flg-,2,30,7,50
p182,flg-,2,30,7,44
p182,flg-,2,30,7,63
p182,flg-,2,30,7,70
p182,flg-,2,30,7,55
p182,flg-,2,30,7,55
p182,flg-,2,29,7,50
p182,flg-,2,29,7,46
p182,flg-,2,29,7,51
p182,flg-,2,29,7,23
p182,flg-,2,29,7,50
p182,flg-,2,29,7,49
p182,flg-,2,28,7,46
p182,flg-,2,28,7,42
p182,flg-,2,28,7,51
p182,flg-,2,28,7,36
p182,flg-,2,28,7,45
p182,flg-,2,28,7,59
cl21,flg-,2,11,7,50
cl21,flg-,2,11,7,55
cl21,flg-,2,11,7,52
cl21,flg-,2,11,7,67
cl21,flg-,2,11,7,60
cl21,flg-,2,11,7,50
cl21,flg-,2,10,7,57
cl21,flg-,2,10,7,50
cl21,flg-,2,10,7,57
cl21,flg-,2,10,7,59
cl21,flg-,2,10,7,53
cl21,flg-,2,10,7,45
cl21,flg-,2,12,7,40
cl21,flg-,2,12,7,62
cl21,flg-,2,12,7,58
cl21,flg-,2,12,7,42
cl21,flg-,2,12,7,72
cl21,flg-,2,12,7,23
deltafliC,flg-,2,17,7,65
deltafliC,flg-,2,17,7,55
deltafliC,flg-,2,17,7,42
deltafliC,flg-,2,17,7,57
deltafliC,flg-,2,17,7,68
deltafliC,flg-,2,17,7,61
deltafliC,flg-,2,16,7,18
deltafliC,flg-,2,16,7,60
deltafliC,flg-,2,16,7,48
deltafliC,flg-,2,16,7,57
deltafliC,flg-,2,16,7,21
deltafliC,flg-,2,16,7,55
deltafliC,flg-,2,18,7,56
deltafliC,flg-,2,18,7,52
deltafliC,flg-,2,18,7,59
deltafliC,flg-,2,18,7,53
