taxon_oid,Name,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Institution,Host,Fraction,HostFraction
2643221605,Sphingomonas_sp._Root710,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221819,Bradyrhizobium_sp._Leaf396,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221545,Caulobacter_sp._Root1455,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221691,Caulobacter_sp._Root487D2Y,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2565956514,Ochrobactrum_sp._UNC390CL2Tsu3S39,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,UNC,Arabidopsis,Root,Arabidopsis_Root
2606217774,Methylobacterium_sp._UNCCL126,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221859,Methylobacterium_sp._Leaf89,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221634,Rhizobium_sp._Root1203,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221726,Ensifer_sp._Root954,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221882,Methylobacterium_sp._Leaf122,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221483,Rhizobium_sp._28MFCol1.1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221778,Devosia_sp._Leaf64,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221719,Rhizobium_sp._Root274,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221618,Ensifer_sp._Root231,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2590828855,Methylobacterium_brachiatum_111MFTsu3.1M4,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221945,Aurantimonas_sp._Leaf443,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221832,Rhizobium_sp._Leaf453,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2590828858,Caulobacter_sp._UNC279MFTsu5.1,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,UNC,Arabidopsis,Root,Arabidopsis_Root
2639762575,Phyllobacterium_sp._CL33Tsu,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221742,Sphingomonas_sp._Leaf9,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221595,Mesorhizobium_sp._Root695,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221802,Methylobacterium_sp._Leaf112,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221659,Ensifer_sp._Root127,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221666,Phenylobacterium_sp._Root1290,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2606217775,Methylobacterium_sp._UNCCL136,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221905,Rhizobium_sp._Leaf155,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
