Name,Replicate,AUC
Pta,A1,6722526.88904558
Pta,A2,47218396.4950138
Pta,A3,14471418.4558278
Pta,A4,26673482.8868841
Pta,A5,44757087.7205664
Pta,A6,20501768.6385662
Pta,A7,25843003.9266833
Pta,A8,17345028.8120227
Pta,A9,26019228.6605316
Pta,A10,22952059.75767
Pta,A11,28210417.426182
Pta,A12,37099257.947143
PtaDA,A1,451709.411493359
PtaDA,A2,860380.608276326
PtaDA,A3,371279.53216905
PtaDA,A4,248309.122482937
PtaDA,A5,349441.154634679
PtaDA,A6,331146.493111226
PtaDA,A7,365485.328907555
PtaDA,A8,469470.630772891
PtaDA,A9,810603.459676249
PtaDA,A10,506718.823399384
PtaDA,A11,531015.176377842
PtaDA,A12,407019.075131593
467,A1,146414.895358021
467,A2,146862.954887044
467,A3,160648.66035681
467,A4,170060.334165874
467,A5,172883.174131383
467,A6,183224.577923118
467,A7,248094.599369147
467,A8,231385.573149706
467,A9,414386.196900009
467,A10,148349.622385862
467,A11,184763.200834745
467,A12,153150.799521242
154,A1,161927.884426523
154,A2,190958.724409882
154,A3,158958.309698277
154,A4,196312.793364686
154,A5,184763.711842793
154,A6,181479.727316618
154,A7,192054.586714693
154,A8,205758.221489664
154,A9,219205.121877543
154,A10,238853.475617039
154,A11,247814.718175478
154,A12,204570.775480507
94,A1,1619148.18220456
94,A2,590719.503372174
94,A3,1190490.79684
94,A4,3988557.90612273
94,A5,2999636.82496496
94,A6,1025438.36901087
94,A7,1275180.03351499
94,A8,8608883.66671191
94,A9,8745783.13370708
94,A10,2447834.47205974
94,A11,5455570.74825593
94,A12,1018740.52790994
1983,A1,6285859.75353571
1983,A2,1818392.03607903
1983,A3,2284069.5051665
1983,A4,11242022.3580409
1983,A5,13813047.872301
1983,A6,13432820.6442897
1983,A7,3212808.16578322
1983,A8,27939763.5918895
1983,A9,10956543.7285916
1983,A10,8728575.02254358
1983,A11,11602127.4997954
1983,A12,22432740.9929601
1391,A1,11936164.1029044
1391,A2,2188081.76274249
1391,A3,7757997.07949233
1391,A4,822079.643248018
1391,A5,2318735.74742534
1391,A6,9283004.62767898
1391,A7,4162328.27250949
1391,A8,5227064.87788932
1391,A9,4529047.13698947
1391,A10,5043219.47201291
1391,A11,15912025.4730885
1391,A12,2225733.11164799
1195,A1,28744228.9808131
1195,A2,28873075.8551217
1195,A3,35850482.2184004
1195,A4,24451212.0080303
1195,A5,40906961.4849916
1195,A6,62404233.9146016
1195,A7,45279046.6290564
1195,A8,19190802.4303063
1195,A9,30998449.1869499
1195,A10,26443324.4333327
1195,A11,37596616.9537461
1195,A12,54633027.113129
