Name,Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Pta,0,1012.837582,622.107906,315.407631,351.119238,153.655281,225.078351,103.23904,113.742421,109.541068,103.23904,69.628233,94.836337
Pta,60,105.339716,75.930258,78.030933,73.829583,65.426883,46.520812,54.92351,78.030933,48.621486,61.225534,40.21879,44.420138
Pta,120,535.979612,542.281679,325.911043,214.574954,90.634986,964.52143,250.28651,790.163416,231.38039,231.38039,128.447156,334.313773
Pta,180,10556.975453,7804.736581,2061.096145,3195.50168,1214.505357,7348.841707,2080.002755,6023.191748,3619.858058,7168.165289,1386.763703,3848.843499
Pta,240,27570.710803,19562.377493,4600.929338,8449.7173,5088.318847,14660.321348,5720.669726,12687.40796,9998.115227,19161.039077,6166.04982,11819.679673
Pta,300,39186.612311,28470.155192,7063.121073,11939.438149,10540.167562,20241.085862,9846.845549,19675.845311,15473.455027,27135.703252,12330.230378,18652.540272
Pta,360,45706.812677,33890.180276,9176.640733,14603.59144,14271.617337,24128.550338,13380.757828,25217.078693,19146.330382,31029.851599,17154.381168,24223.112947
Pta,420,49217.292003,37074.297216,11594.87045,16774.068131,17522.089089,26486.349134,15862.165645,28066.664705,21243.400847,32837.246418,21258.109978,28281.018739
Pta,480,49917.306624,38753.63512,13563.551199,17190.101282,19862.857484,27957.386428,18041.085808,30535.978494,22254.135378,34621.568711,23914.208891,29762.601156
Pta,540,50762.37855,40439.31853,15248.634185,17868.786879,21495.557798,28140.217487,19759.895665,30603.229097,22804.687084,33448.828846,26452.725782,31885.205947
Pta,600,50354.556509,39188.714148,16570.254803,17837.268828,23302.708924,28722.337915,20844.154182,31147.541019,23426.689589,34098.246906,28062.461691,33255.475754
Pta,660,48748.517318,39852.897923,17717.500362,18337.356898,24168.476758,28318.845989,21800.248646,31429.155781,23796.531511,33539.200581,29480.993031,33373.168877
Pta,720,47520.888918,38528.740247,18684.058687,17637.65483,24620.277288,28434.429379,21331.655678,31111.813853,23470.818353,32160.518761,30607.432262,33492.963865
Pta,780,47306.476555,38167.228492,19900.680231,17906.608559,24794.694079,28428.124825,21596.420829,31588.878085,23338.432144,31586.776474,30447.712174,32967.54876
Pta,840,45101.430266,36805.27057,19860.756221,17326.678356,25683.595975,27188.240254,21043.777233,30596.92435,22548.322779,30893.248055,29995.874408,32845.653013
Pta,900,43829.723676,36571.974854,19572.883765,16702.628341,24662.305391,26740.62625,20531.062321,29144.745992,22829.903296,28945.100069,30886.943282,31340.888347
Pta,960,43457.674998,34966.248642,19209.367666,16893.834999,24555.133778,25738.233336,19574.985019,29245.619936,21693.08137,29249.82302,29972.757204,31277.840247
Pta,1020,41521.79228,33734.656124,18322.648375,15815.940487,23498.136174,23813.342553,18700.868513,26873.018829,20699.165161,27459.331803,29615.492294,29800.429199
Pta,1080,39798.249655,33631.674104,18221.790013,15141.47684,22617.667131,22897.14657,17713.297963,26265.69618,20072.984111,25631.060091,28617.261671,29396.931121
Pta,1140,37999.08412,31956.661078,17259.440379,15124.667859,22573.538899,21796.046004,16780.371645,24786.288441,19192.557718,24788.38985,27719.916908,27751.439364
Pta,1200,36687.571734,30939.483071,16841.305646,14227.494314,20911.395568,20333.541995,15212.915052,23741.895651,18081.00879,23470.818353,26572.509046,25965.188978
Pta,1260,35132.284086,29569.258143,16183.641446,13445.891044,20520.555907,19192.557718,14292.62831,22613.464441,16908.543225,22315.074096,24874.547693,24418.542741
Pta,1320,32650.199927,27782.961835,15208.712802,12733.631073,18997.142368,17402.321156,13109.720252,20377.668828,16599.671124,20686.557434,24084.421163,22962.288553
Pta,1380,30664.175011,25784.464981,14828.410231,12452.090762,17753.22076,15942.009172,12284.007528,19392.176106,14450.210806,18883.675639,22573.538899,21501.861733
Pta,1440,27556.000359,24361.805003,13168.550025,11527.637924,16492.51173,14315.740388,10985.578018,17933.92423,13979.56546,18127.235429,21405.201454,20083.490458
Pta,1500,25698.30603,22100.738147,12296.613757,10870.023149,15862.165645,12241.986782,10720.852597,15967.222936,12374.352217,16103.797647,20140.224763,18020.073721
Pta,1560,22615.565786,20165.440024,11693.618338,10008.620077,14366.166765,11449.900395,9409.846077,14822.10689,11678.911197,14752.770184,19125.317967,16393.757139
Pta,1620,19997.338453,18295.332554,10533.864604,9376.230845,13231.581979,9745.999278,8121.973919,13063.496893,10584.288284,13376.555687,17616.642863,15364.196211
Pta,1680,17410.725916,16385.352499,9634.648353,8575.772851,12590.75973,8031.634665,7628.260797,12267.199227,9338.413728,11876.407347,16332.823524,13735.839636
Pta,1740,15414.623336,14746.46685,8937.133343,7674.480603,11036.00202,6609.33185,6895.050651,10796.48833,8334.166576,10348.978086,15208.712802,12036.085489
Pta,1800,13792.568848,12897.513262,7989.616446,7252.200775,10323.766325,5407.64483,6212.26867,9113.612394,7466.491716,9023.271872,13903.926321,11149.456156
Pta,1860,11405.779133,11183.072231,7023.204311,6716.476265,8960.24367,4401.352707,5369.829836,8544.258942,6439.161643,8321.561054,12340.735575,9470.773726
Pta,1920,9798.523359,9743.898315,6714.375393,5907.64499,7979.111896,3621.958839,4739.582908,7584.14192,5403.443163,7260.604329,11531.839955,8727.039809
Pta,1980,8201.808706,8544.258942,5871.930576,5544.199145,7304.723004,2859.379624,4420.259943,6226.974674,4941.261314,6008.485787,10103.163804,7403.464901
Pta,2040,7361.447056,7525.316794,5145.04112,5031.596619,6548.406667,2483.344967,3693.385413,5590.417588,4521.098618,5506.384077,9453.966093,6672.357957
Pta,2100,5813.106874,6613.533589,4483.284098,4579.921245,6090.41904,1838.418677,3313.144777,4813.111427,3913.967934,4806.808979,9103.107676,5859.325492
Pta,2160,5138.738643,5437.056506,4428.66316,4338.328625,5256.384974,1456.087302,3008.533589,4172.365477,3527.423779,4340.429427,7832.048349,5306.80489
Pta,2220,4487.48571,4932.858035,3695.486195,3748.005782,4924.454758,1393.065846,2523.259166,3621.958839,2958.115312,3615.656498,7195.476811,4563.114775
Pta,2280,4153.458308,4277.405399,3573.640904,3569.439345,4205.978235,1136.779167,2254.36395,3166.090936,2624.095135,3273.230133,6558.911005,4367.739856
Pta,2340,3537.927668,3840.44035,3061.052666,3187.098609,3769.013628,1086.362225,2082.10349,2968.619117,2409.818872,2977.022162,5796.30011,3800.525408
Pta,2400,2922.402388,3374.067172,2901.394794,2941.309228,3525.323001,880.493418,1981.268293,2393.012918,2082.10349,2516.956922,5403.443163,3338.354038
Pta,2460,2764.845583,3119.874078,2632.498139,2689.218442,2972.820639,855.285034,1634.648401,2218.651381,1857.325227,2258.56543,4955.967053,2733.334265
Pta,2520,2319.486916,2901.394794,2565.274136,2416.121106,2626.195886,857.385732,1508.605226,1991.771952,1750.188176,2098.90937,4441.267988,2397.214406
