Name,Replicate,AUC
Pta,A1,20177428.9720881
Pta,A2,4747690.81457674
Pta,A3,22365519.0895927
Pta,A4,17312748.4587197
Pta,A5,18638851.5554304
Pta,A6,64564803.0149525
Pta,A7,39154134.3212917
Pta,A8,31413233.0538832
Pta,A9,42826582.8440896
Pta,A10,74328930.8996552
Pta,A11,51654219.7871835
Pta,A12,59419033.4309888
PtaDA,A1,335180.609049592
PtaDA,A2,631335.622796858
PtaDA,A3,1099148.36584542
PtaDA,A4,731297.097094826
PtaDA,A5,1179168.48507994
PtaDA,A6,1597917.63341898
PtaDA,A7,1191402.46503554
PtaDA,A8,591788.600782546
PtaDA,A9,438677.65244841
PtaDA,A10,1419993.26894185
PtaDA,A11,404108.099302057
PtaDA,A12,1327534.17481137
dw,A1,184691.726274165
dw,A2,223181.852605823
dw,A3,197154.908531307
dw,A4,209590.758723046
dw,A5,198980.419522701
dw,A6,172435.226981157
dw,A7,169118.615395896
dw,A8,183217.758465594
dw,A9,211137.320355348
dw,A10,160708.30976707
dw,A11,163115.024683546
dw,A12,202561.722223004
Pa20,A1,803528.561328988
Pa20,A2,324602.669484032
Pa20,A3,235951.689537872
Pa20,A4,227909.353418349
Pa20,A5,217062.13220367
Pa20,A6,212518.633414633
Pa20,A7,207295.828550452
Pa20,A8,202644.495751605
Pa20,A9,323145.281096929
Pa20,A10,198308.035069873
Pa20,A11,169290.66099995
Pa20,A12,291514.774332578
218,A1,223682.750123205
218,A2,308864.310801198
218,A3,222655.771924425
218,A4,316680.896191064
218,A5,370143.945480693
218,A6,329599.486873787
218,A7,242945.250782964
218,A8,266827.577511348
218,A9,287994.762504239
218,A10,280703.134259402
218,A11,259459.019499204
218,A12,428761.576110797
362,A1,171879.245424085
362,A2,348555.461281571
362,A3,220077.196633959
362,A4,242973.170241369
362,A5,391713.572089958
362,A6,262851.393244188
362,A7,378990.918209557
362,A8,291247.1772244
362,A9,232634.783004597
362,A10,262644.415096266
362,A11,209683.827774286
362,A12,273633.373729741
435,A1,278259.058379574
435,A2,440778.657448365
435,A3,253741.521084833
435,A4,251178.350697947
435,A5,243709.987664095
435,A6,235944.136052781
435,A7,274697.998452891
435,A8,451327.341430583
435,A9,314505.953726278
435,A10,312829.775834833
435,A11,289592.871318099
435,A12,269230.818017163
99,A1,213982.82803243
99,A2,393091.824853764
99,A3,309298.210283933
99,A4,208940.127076082
99,A5,286851.977377257
99,A6,276982.67326547
99,A7,203695.274674686
99,A8,284757.100803593
99,A9,235652.781338851
99,A10,284166.963276315
99,A11,189773.436266307
99,A12,210373.089572574
