"","Name","Sample","Plate","P1","P2","P3","P4","P5","P6","FullAuc","ScaledAuc"
"27","Pa","A3","152245","0.934808156982927","-5.0165649652591","-0.6115928158757","21.6898699727483","0.0820628147751939","5.45571869925292","22004770.3568796","25.055520019257"
"28","Pa","A4","152245","0.956529543771343","-5.86804885563064","-0.387054492689313","23.6211291719583","0.0824444157435194","5.3978544121153","14374958.3381769","25.7861511961838"
"29","Pa","A5","152245","0.953663763259026","-3.61895373586244","-0.910524818464116","16.4220001109396","0.0860671219395282","5.22698820967651","47727457.036996","21.7768338244234"
"30","Pa","A6","152245","0.958049969324702","-4.35435030842374","-0.611901440983254","19.4782646899834","0.092726062906668","5.55937708827039","38882980.5546393","23.2163553493009"
"31","Pa","A7","152245","0.947895882167147","-4.30178771375548","-0.683602966051438","19.3176249901755","0.081252149267267","5.79787199412973","45320666.6199191","23.9065735195756"
"32","Pa","A8","152245","0.939719851719929","-4.3973246770811","-0.560218282264789","22.7683342031667","0.0884356669629632","5.38784415562014","42625336.3047317","25.8538246054241"
"33","Pa","A9","152245","0.959339856509353","-3.82798586283236","-0.573959122616949","19.2844182073821","0.081373502954249","6.0766328202389","35670207.5897557","24.6039547180458"
"34","Pa","A10","152245","0.965861874816389","-2.85568426394944","-1.08871859066728","12.5100186085591","0.0837844121943206","6.50915723088372","50731746.9115996","19.6032376448801"
"35","Pa","A11","152245","0.952102688331346","-4.26671655319392","-0.639957631335068","21.5220515192595","0.0835885245664405","5.90112809583271","26313294.1352479","25.7861716921332"
"36","Pa","A12","152245","0.877627133632218","-3.84348129759731","-0.472162503524979","24.4216222837104","0.129679319674722","5.27303884250404","55749868.9679393","23.1693696262298"
"37","Pa20","A1","152245","1.01735964391992","-9.93742988956689","-0.0169095974477295","2.01606661421865","0.921776160727268","2.26551442976732","182432.831747772","3.94788996982728"
"38","Pa20","A2","152245","0.585067715270805","-9.7725567315494","-0.0078033088126941","2.50315730500664","0.0241231134052701","2.77971122980287","116318.863085785","5.85742938193494"
